code,LISA_Cluster,LISA_P_Value
E01000037,0,0.447
E01033729,0,0.355
E01000038,0,0.476
E01033730,3,0.006
E01000039,0,0.093
E01033731,0,0.055
E01000040,0,0.312
E01033732,0,0.087
E01000041,0,0.376
E01033733,3,0.017
E01000042,0,0.123
E01033734,3,0.005
E01000043,0,0.241
E01033735,3,0.008
E01000044,0,0.36
E01033736,3,0.002
E01000045,0,0.118
E01033737,3,0.001
E01000123,0,0.265
E01033738,4,0.028
E01033739,3,0.001
E01000001,1,0.001
E01033740,3,0.002
E01000002,1,0.001
E01033741,3,0.011
E01000003,0,0.277
E01033742,3,0.016
E01000005,1,0.002
E01000006,0,0.329
E01033743,3,0.001
E01000007,0,0.125
E01033744,3,0.008
E01000008,3,0.031
E01033745,3,0.001
E01000009,0,0.362
E01033746,3,0.003
E01000010,0,0.332
E01000011,0,0.198
E01000012,0,0.355
E01000013,0,0.204
E01000014,1,0.043
E01000015,0,0.153
E01000016,1,0.041
E01000017,1,0.027
E01000018,0,0.197
E01000019,1,0.015
E01000020,1,0.002
E01000021,1,0.022
E01000022,1,0.016
E01000023,2,0.045
E01000024,1,0.009
E01000025,0,0.104
E01000027,0,0.451
E01000028,0,0.356
E01000029,0,0.18
E01000030,0,0.192
E01000031,0,0.194
E01000032,1,0.011
E01000033,0,0.364
E01000034,0,0.147
E01000035,0,0.159
E01000036,0,0.387
E01000046,1,0.03
E01000048,0,0.369
E01000049,3,0.004
E01000050,0,0.081
E01000051,4,0.013
E01000052,0,0.343
E01000053,1,0.009
E01000054,1,0.02
E01000055,1,0.043
E01000056,1,0.029
E01000057,0,0.056
E01000058,1,0.034
E01000059,1,0.017
E01000060,0,0.086
E01000061,0,0.159
E01000062,1,0.045
E01000063,1,0.042
E01000064,0,0.062
E01000065,1,0.014
E01000066,0,0.306
E01000067,1,0.015
E01000068,0,0.376
E01000069,0,0.217
E01000070,0,0.226
E01000071,0,0.109
E01000072,0,0.25
E01000073,0,0.339
E01000074,0,0.148
E01000075,2,0.012
E01000076,0,0.142
E01000077,1,0.004
E01000078,1,0.019
E01000079,0,0.054
E01000080,1,0.05
E01000081,1,0.025
E01000082,1,0.012
E01000083,1,0.019
E01000084,0,0.087
E01000085,0,0.055
E01000086,1,0.014
E01000087,1,0.016
E01000088,0,0.08
E01000089,0,0.199
E01000090,0,0.454
E01000091,0,0.116
E01000092,3,0.001
E01000093,0,0.353
E01000094,0,0.167
E01000095,0,0.297
E01000096,0,0.224
E01000097,0,0.251
E01000098,0,0.127
E01000099,0,0.154
E01000100,0,0.068
E01000101,0,0.119
E01000102,1,0.013
E01000103,0,0.199
E01000104,0,0.436
E01000105,0,0.274
E01000106,0,0.371
E01000107,0,0.498
E01000108,0,0.443
E01000109,0,0.085
E01000110,0,0.419
E01000111,0,0.185
E01000112,0,0.114
E01000113,0,0.464
E01000114,0,0.448
E01000115,0,0.289
E01000116,0,0.053
E01000117,0,0.227
E01000118,0,0.114
E01000119,0,0.186
E01000120,0,0.068
E01000121,0,0.051
E01000122,0,0.496
E01000124,0,0.49
E01000125,2,0.035
E01000126,0,0.116
E01000127,0,0.371
E01000128,0,0.263
E01000129,0,0.293
E01000130,0,0.354
E01000131,3,0.017
E01000132,0,0.167
E01000133,0,0.404
E01000134,0,0.437
E01000135,0,0.25
E01000136,3,0.017
E01000137,0,0.36
E01000138,0,0.248
E01000139,0,0.146
E01000140,0,0.199
E01000141,0,0.197
E01000142,0,0.456
E01000143,3,0.032
E01000144,0,0.372
E01000145,0,0.385
E01000146,0,0.107
E01000147,0,0.065
E01000148,0,0.054
E01000150,0,0.386
E01000151,0,0.184
E01000152,0,0.052
E01000153,0,0.407
E01000154,4,0.003
E01000155,3,0.008
E01000156,4,0.042
E01000157,4,0.036
E01000158,0,0.304
E01000159,0,0.205
E01000160,0,0.155
E01000161,0,0.458
E01000162,0,0.149
E01000163,0,0.052
E01000164,0,0.129
E01000165,0,0.172
E01000166,0,0.195
E01000167,0,0.489
E01000168,0,0.283
E01000169,0,0.176
E01000170,0,0.098
E01000171,0,0.118
E01000172,0,0.056
E01000173,0,0.281
E01000174,0,0.237
E01000175,2,0.041
E01000176,0,0.319
E01000177,0,0.398
E01000178,0,0.068
E01000179,0,0.294
E01000180,0,0.408
E01000181,0,0.117
E01000182,0,0.298
E01000183,0,0.49
E01000184,3,0.026
E01000185,0,0.191
E01000186,1,0.003
E01000187,1,0.036
E01000189,1,0.029
E01000190,1,0.045
E01000191,1,0.014
E01000192,1,0.002
E01000193,1,0.005
E01000194,0,0.256
E01000195,0,0.056
E01000196,0,0.408
E01000197,0,0.479
E01000198,0,0.406
E01000199,0,0.259
E01000200,0,0.313
E01000201,0,0.287
E01000202,0,0.395
E01000203,0,0.434
E01000204,0,0.106
E01000205,0,0.227
E01000206,3,0.001
E01000207,0,0.311
E01000208,0,0.213
E01000209,0,0.248
E01000210,0,0.301
E01000211,0,0.285
E01000212,0,0.094
E01000213,0,0.334
E01000214,0,0.104
E01000215,0,0.125
E01000216,0,0.468
E01000217,0,0.423
E01000218,0,0.197
E01000219,0,0.11
E01000220,0,0.203
E01000221,0,0.136
E01000222,0,0.196
E01000223,0,0.475
E01000224,0,0.327
E01000225,0,0.403
E01000226,0,0.274
E01000227,1,0.012
E01000228,0,0.163
E01000229,0,0.086
E01000230,1,0.004
E01000231,0,0.321
E01000232,1,0.011
E01000233,0,0.068
E01000234,0,0.086
E01000235,0,0.188
E01000236,0,0.408
E01000237,0,0.349
E01000238,0,0.402
E01000239,0,0.115
E01000240,0,0.119
E01000241,0,0.427
E01000242,0,0.341
E01000243,0,0.444
E01000244,0,0.165
E01000245,0,0.233
E01000246,0,0.371
E01000247,0,0.313
E01000248,0,0.346
E01000249,0,0.104
E01000250,0,0.436
E01000251,0,0.437
E01000252,0,0.309
E01000255,3,0.017
E01000256,0,0.217
E01000257,3,0.021
E01000258,0,0.443
E01000259,3,0.04
E01000260,0,0.086
E01000261,0,0.469
E01000262,0,0.213
E01000263,0,0.415
E01000264,0,0.148
E01000265,0,0.354
E01000266,0,0.425
E01000267,0,0.158
E01000268,0,0.484
E01000269,0,0.316
E01000270,0,0.136
E01000271,0,0.057
E01000272,0,0.126
E01000273,0,0.143
E01000274,0,0.146
E01000275,0,0.334
E01000276,0,0.35
E01000277,0,0.461
E01000278,0,0.157
E01000279,0,0.254
E01000280,0,0.127
E01000281,0,0.478
E01000282,0,0.279
E01000283,0,0.455
E01000284,0,0.441
E01000285,0,0.138
E01000286,0,0.075
E01000287,0,0.198
E01000288,0,0.491
E01000289,0,0.378
E01000291,0,0.261
E01000292,0,0.247
E01000293,0,0.292
E01000294,0,0.052
E01000295,0,0.472
E01000296,0,0.45
E01000297,0,0.414
E01000298,0,0.337
E01000299,0,0.425
E01000300,0,0.283
E01000301,0,0.484
E01000302,0,0.337
E01000303,0,0.076
E01000304,3,0.025
E01000305,0,0.171
E01000306,0,0.288
E01000307,0,0.196
E01000308,0,0.39
E01000309,0,0.329
E01000310,0,0.203
E01000311,0,0.445
E01000312,0,0.435
E01000313,0,0.406
E01000314,0,0.232
E01000315,0,0.2
E01000316,0,0.486
E01000317,0,0.4
E01000318,0,0.292
E01000319,0,0.387
E01000320,0,0.384
E01000321,0,0.341
E01000322,0,0.289
E01000323,0,0.238
E01000324,0,0.348
E01000325,1,0.004
E01000326,1,0.003
E01000327,1,0.008
E01000328,1,0.046
E01000329,0,0.125
E01000330,1,0.017
E01000331,0,0.438
E01000332,0,0.123
E01000333,1,0.015
E01000334,0,0.063
E01000335,0,0.279
E01000336,0,0.064
E01000337,0,0.203
E01000338,0,0.394
E01000339,1,0.003
E01000340,1,0.033
E01000341,1,0.002
E01000342,1,0.012
E01000343,1,0.002
E01000344,1,0.015
E01000345,1,0.002
E01000346,1,0.007
E01000347,1,0.002
E01000348,1,0.01
E01000349,1,0.006
E01000350,1,0.002
E01000351,1,0.002
E01000352,1,0.002
E01000353,1,0.002
E01000354,1,0.002
E01000355,1,0.002
E01000356,1,0.002
E01000357,1,0.002
E01000358,1,0.002
E01000359,1,0.001
E01000360,1,0.003
E01000361,1,0.006
E01000362,0,0.071
E01000363,1,0.031
E01000364,0,0.053
E01000365,1,0.002
E01000366,1,0.002
E01000367,1,0.011
E01000368,1,0.002
E01000369,1,0.002
E01000370,1,0.002
E01000371,1,0.002
E01000372,1,0.015
E01000373,0,0.325
E01000376,0,0.177
E01000377,0,0.053
E01000380,1,0.013
E01000382,0,0.269
E01000384,0,0.282
E01000385,0,0.5
E01000386,0,0.119
E01000387,0,0.145
E01000388,1,0.039
E01000389,1,0.009
E01000390,0,0.061
E01000391,2,0.002
E01000392,1,0.016
E01000393,1,0.002
E01000394,1,0.002
E01000395,0,0.289
E01000396,0,0.166
E01000398,0,0.226
E01000399,1,0.007
E01000400,0,0.136
E01000401,1,0.039
E01000402,1,0.011
E01000403,0,0.172
E01000404,0,0.463
E01000405,0,0.248
E01000406,0,0.241
E01000407,1,0.036
E01000408,0,0.39
E01000409,1,0.01
E01000410,1,0.002
E01000411,1,0.002
E01000412,1,0.002
E01000413,1,0.002
E01000414,1,0.002
E01000415,1,0.002
E01000416,4,0.003
E01000417,0,0.131
E01000418,3,0.016
E01000419,0,0.457
E01000420,0,0.074
E01000421,1,0.002
E01000422,3,0.01
E01000423,0,0.134
E01000424,0,0.379
E01000425,1,0.021
E01000426,0,0.194
E01000427,4,0.022
E01000428,0,0.227
E01000429,0,0.325
E01000431,0,0.337
E01000432,0,0.436
E01000433,0,0.153
E01000435,1,0.014
E01000436,1,0.002
E01000437,1,0.002
E01000438,1,0.011
E01000439,1,0.002
E01000440,1,0.002
E01000441,1,0.002
E01000442,1,0.002
E01000443,0,0.063
E01000445,0,0.14
E01000446,1,0.012
E01000447,0,0.434
E01000448,0,0.107
E01000449,0,0.448
E01000450,0,0.08
E01000451,1,0.025
E01000452,1,0.002
E01000453,1,0.002
E01000454,1,0.007
E01000455,1,0.002
E01000456,1,0.002
E01000457,0,0.294
E01000458,0,0.472
E01000459,0,0.381
E01000460,1,0.004
E01000461,1,0.025
E01000462,2,0.022
E01000463,0,0.131
E01000464,3,0.006
E01000465,3,0.022
E01000466,3,0.011
E01000467,3,0.001
E01000468,3,0.042
E01000469,3,0.002
E01000470,3,0.005
E01000471,1,0.031
E01000472,1,0.013
E01000473,1,0.003
E01000474,1,0.012
E01000475,0,0.051
E01000476,1,0.004
E01000477,1,0.046
E01000478,1,0.015
E01000479,0,0.185
E01000480,0,0.116
