code,name,x,y,Retail,Bus Stop Density,Catering,Student percentage,house hold language,Mobile Station Density,Multi-ethnic ratio,Multiple Faith Ratio,Social,Street Density,art count,Edu Count,bench count,bank atm count,Public transport rate,Population,Population Density,ImperviuosSurfaceRatio,BuildingCoverRatio,BuildingAge_averageyear,BuildingVolumn_sum,VacantHouse_count_flip,PopulationDifference,GSCP_flip,TCCR_flip,ThermalIntensity_avg
E01000037,Barking and Dagenham 003B,551171.3004,187099.6949,-1,-0.892740926,-1,-0.815454119,-0.59266006,-1,-0.451104101,0.26425187,-1,-0.372662299,-1,-1,-1,-1,-0.444649868,-0.029377052,-0.324680769,0.179375681,-0.334537056,0.304391909,-0.203674528,0.587223275,-0.15444586,0.508436034,0.344618144,0.644057282
E01033729,Greenwich 030E,544576.1857,174028.9795,-0.923076923,-0.927534418,-0.961538462,0.049033984,-0.663939478,-0.978947368,-0.495268139,-0.428588911,-0.987730061,-0.719297201,-0.972972973,-0.857142857,-0.965065502,-1,-0.082643044,3.278300113,-0.949864304,-1.685863179,-1.178382848,0.433369262,0.003642084,0.420885352,-0.255614132,-2.127171224,-0.805575127,0.123147131
E01000038,Barking and Dagenham 003C,550724.0667,187156.35,-1,-0.82465582,-1,-0.849144465,-0.481175362,-1,-0.501577287,0.171289541,-1,-0.308338297,-1,-1,-1,-1,-0.344731845,-0.817816718,-0.480976653,0.06900532,-0.480962543,0.029566612,-0.300248199,0.587223275,-0.109663488,0.202836254,0.802537356,0.465284058
E01033730,Greenwich 035D,537777.2709,177288.521,-0.961538462,-0.598748436,-0.948717949,0,0,-1,0,0,-0.914110429,-0.443418702,-1,-1,-0.982532751,-0.962962963,0,-0.293237339,-0.168384885,1.551135979,0.502061895,2.459598553,0.317055622,0.83673016,0.058768994,0.613999045,0.622534822,-0.177069629
E01000039,Barking and Dagenham 003D,551151.3155,186008.7497,-1,-0.975469337,-1,-0.848811439,-0.550808116,-1,-0.470031546,0.006756208,-0.987730061,-0.905300774,-0.972972973,-1,-0.84279476,-1,-0.337398284,-0.44715584,-1.418751955,-2.407298561,-1.559666908,1.329358176,-0.280050507,0.33771639,-0.014115676,-3.508826031,-1.520350998,-0.363052952
E01033731,Greenwich 004E,543960.0904,178982.8822,-0.846153846,-0.449186483,-0.923076923,0,0,-0.856548348,0,0,-0.963190184,-0.296128648,-0.918918919,-1,-1,-0.888888889,0,1.126582299,-0.012089001,1.75286181,0.891040639,1.135692222,0.305994706,0.83673016,-0.237664922,0.613999045,0.530149366,1.167810224
E01000040,Barking and Dagenham 019A,545566.9207,184054.1301,-0.961538462,-0.706758448,-0.961538462,-0.644883859,0.015875919,-0.885434517,-0.38170347,0.276185908,-0.950920245,-0.173734366,-1,-1,-1,-1,0.228250794,-0.50369733,-0.168384885,0.880897365,-0.298063995,0.25760984,-0.314333236,0.420885352,-0.088450786,0.613999045,0.4099032,2.109026185
E01033732,Greenwich 036D,539855.7377,179006.5282,-1,-0.526032541,-1,-0.771081881,-0.149246327,-1,0.722397476,-0.070704675,-1,-0.531685527,-1,-1,-0.92139738,-0.962962963,0.661104936,-2.027176366,0.144206882,0.19279832,0.175028156,2.815860113,-0.085301091,0.420885352,0.137999343,0.613999045,0.415033826,-0.684163638
E01000041,Barking and Dagenham 017A,546856.9925,184261.7898,-1,-0.836045056,-1,-0.684560229,-0.205366683,-1,-0.255520505,0.228772313,-1,-0.217391304,-1,-1,-1,-1,0.041814442,-0.133036451,0.144206882,0.608191291,-0.585884279,-0.674187914,-0.39021538,0.587223275,-0.153176724,0.613999045,0.586385961,0.563901076
E01033733,Greenwich 036E,540298.26,179195.416,-0.846153846,-0.963954944,-1,0,0,-1,0,0,-0.975460123,-0.850625372,-1,-1,-0.720524017,-1,0,-1.647091905,-1.262456071,-0.296275326,-1.25378108,2.951276433,0.19808595,0.83673016,-0.08754426,0.395693274,0.985944816,-0.49308249
E01000042,Barking and Dagenham 017B,546213.0933,184146.6829,-1,-0.891739675,-1,-0.698866898,-0.223042093,-1,-0.482649842,0.045871272,-1,-0.50244193,-1,-1,-1,-1,0.297692602,0.551743817,-0.324680769,-0.045651553,-0.847685148,0.630511648,-0.315960084,0.587223275,-0.187624702,0.279082499,-0.201971647,-0.20337402
E01033734,Greenwich 004F,544192.0748,179287.5147,-1,-1,-1,-0.787358226,-0.432815945,-1,0.482649842,-0.402590689,-1,-0.363311495,-0.972972973,-1,-0.895196507,-1,0.42062265,-0.751851647,0.613094533,0.981662135,0.784776963,0.214481723,0.015684063,0.088209505,-0.144292772,0.613999045,1.244365455,-0.002486109
E01000043,Barking and Dagenham 019B,545750.6993,183755.107,-1,-0.859073842,-1,-0.635765892,-0.061685078,-0.907955936,-0.457413249,0.300822693,-1,-0.357951161,-1,-1,-0.991266376,-1,0.087500721,-1.056547454,-0.79356842,0.43947059,-0.334276652,-0.434261288,-0.182926846,0.587223275,-0.025719205,0.613999045,0.396817349,0.518838826
E01033735,Greenwich 004G,543451.0501,178885.1217,-0.461538462,0.321401752,-0.974358974,-0.747941461,0.043019837,-0.858996328,0.205047319,-0.121687535,-0.987730061,-0.422513401,-1,-1,-1,-0.740740741,1,-2.005188009,0.144206882,1.973783847,2.536072326,2.034708515,0.451486132,0.005040543,-0.058354132,0.613999045,0.429233194,1.680508482
E01000044,Barking and Dagenham 016D,545072.0596,183971.2575,-1,-1,-1,-0.661755725,0.140437018,-0.942717258,-0.066246057,0.209257142,-1,-0.263192376,-1,-1,-1,-1,0.301042612,0.507767103,0.144206882,1.169732639,-0.158043228,-0.897146099,-0.299422388,0.420885352,-0.165324169,0.613999045,0.519066477,-0.177069629
E01033736,Greenwich 004H,543735.5696,179402.5558,-0.961538462,-1,-1,-0.892918288,-0.201377971,-1,0.444794953,-0.443401179,-0.975460123,-0.844729005,-0.972972973,-1,-0.92139738,-1,0.73506839,-1.386372812,-0.79356842,-0.963299992,-0.781449747,-0.460837702,0.10113736,-1.325662844,0.137999343,0.613999045,1.264685398,-0.002486109
E01000045,Barking and Dagenham 017C,546483.5321,183861.9489,-0.961538462,-0.748310388,-1,-0.700220605,-0.251495051,-1,-0.280757098,0.280187774,-0.987730061,-0.407325789,-1,-1,-1,-1,0.13823592,-0.352920023,-0.637272536,0.01100244,-0.657236264,-0.334789404,-0.233922342,0.420885352,-0.131238801,-0.436455325,0.161110583,0.920242172
E01033737,Greenwich 004I,543314.9072,179029.0872,-0.769230769,-0.544430538,-0.923076923,-0.765223811,-0.116473162,-0.643574051,-0.167192429,-0.262474512,-1,-0.261584276,-1,-1,-0.991266376,-1,0.432216315,-0.946605668,-0.637272536,1.034716686,0.675091253,0.91413932,0.582197189,-1.159324921,-0.131964022,0.613999045,0.033162489,-0.109095753
E01000123,Barnet 010D,528518.8561,193196.935,-1,-0.88135169,-1,-0.932001909,-0.329632958,-0.888861689,0.160883281,0.05040904,-1,-0.674806432,-1,-1,-0.965065502,-1,-0.303684509,-0.045083022,-1.106160187,-1.222417953,-0.730922991,-0.118774303,0.240711023,0.504054313,-0.01991744,-0.780783873,-0.567845153,1.505761182
E01033738,Greenwich 037D,540307.4356,178406.9915,-0.884615385,-0.740550688,-0.974358974,-0.788142052,-0.16954425,-0.982864137,0.570977918,-0.237341,-1,-0.325908279,-1,-1,-0.956331878,-1,0.263884285,-1.549714895,-0.949864304,1.553019867,0.137193505,-0.398370366,0.236950279,0.005040543,0.116605336,0.613999045,0.025494421,0.237010819
